,geoid,year,combined_id,total_pop,median_age,nonfamily_households,family_households,high_school_including_ged,graduate_professional_degree,some_college_and_associates_degree,housing_units,occupied_housing_units,median_structure_age,dwellings_under_4_units,dwellings_5_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,walked_to_work,commuters_by_public_transportation,commuters_by_car_truck_van,commute_under_10_mins,commute_10_29_mins,commute_30_59_mins,commute_over_60_mins,income_per_capita,gini_index,poverty,rent_over_50_percent,rent_25_to_50_percent,rent_under_25_percent,median_rent
30,20500,2007,20500.acs,479624.0,35.3,76681.0,112934.0,67356.0,59781.0,68893.0,213245.0,189615.0,35.0,153765.0,30189.0,8950.0,5219.0,6840.0,9551.0,198352.0,49829.0,122220.0,68610.0,21832.0,27961.0,0.492,72437.0,17751.0,21876.0,16817.0,628.0
31,45060,2007,45060.acs,645293.0,37.7,90098.0,160541.0,136610.0,48026.0,117944.0,285606.0,250639.0,58.0,228595.0,27517.0,6470.0,9470.0,13838.0,6089.0,267367.0,88598.0,175595.0,69574.0,20394.0,24732.0,0.431,78381.0,18927.0,26612.0,20240.0,556.0
32,49620,2007,49620.acs,421049.0,39.2,49910.0,115094.0,117772.0,21886.0,63769.0,174103.0,165004.0,46.0,150677.0,9590.0,2217.0,2424.0,5126.0,2417.0,194280.0,,104978.0,,,26971.0,0.407,36701.0,7179.0,11132.0,10909.0,578.0
33,21660,2007,21660.acs,343591.0,38.2,53720.0,84654.0,64701.0,26991.0,79514.0,149386.0,138374.0,43.0,112414.0,11763.0,3754.0,5776.0,6292.0,5569.0,131496.0,40767.0,101774.0,23948.0,11420.0,23530.0,0.445,47631.0,12413.0,17691.0,11516.0,613.0
34,37860,2007,37860.acs,453451.0,37.8,55116.0,112732.0,95670.0,23643.0,96827.0,197261.0,167848.0,34.0,156429.0,10747.0,3532.0,5957.0,8789.0,564.0,173482.0,,104302.0,,,23123.0,0.445,58000.0,12262.0,16425.0,8311.0,604.0
35,42220,2007,42220.acs,464435.0,39.8,64883.0,113622.0,77376.0,33200.0,97287.0,197446.0,178505.0,42.0,159509.0,13123.0,5695.0,7356.0,9151.0,4905.0,192468.0,67040.0,103356.0,62047.0,41568.0,32397.0,0.438,40761.0,17149.0,25254.0,13553.0,1069.0
36,31140,2007,31140.acs,1228764.0,37.8,171280.0,319167.0,282063.0,74974.0,230848.0,545807.0,490447.0,47.0,440249.0,58800.0,13259.0,11007.0,10336.0,12586.0,539487.0,112743.0,336828.0,181365.0,39334.0,25249.0,0.457,158825.0,31073.0,49026.0,38961.0,514.0
37,39300,2007,39300.acs,1600856.0,38.4,215746.0,396763.0,321220.0,113177.0,258815.0,675917.0,612509.0,61.0,565400.0,60732.0,14512.0,26868.0,21654.0,20571.0,691794.0,193346.0,399308.0,227920.0,101714.0,27591.0,0.449,170214.0,50728.0,76910.0,53674.0,684.0
38,42660,2007,42660.acs,3309347.0,37.5,492845.0,816820.0,519769.0,288636.0,720097.0,1407212.0,1309665.0,41.0,996909.0,177341.0,91314.0,84649.0,57454.0,134154.0,1382332.0,289288.0,748187.0,669392.0,326296.0,33736.0,0.441,317938.0,104201.0,174665.0,113269.0,813.0
39,38900,2007,38900.acs,2174631.0,36.7,305809.0,527919.0,359793.0,171707.0,473692.0,886554.0,833728.0,41.0,668582.0,94515.0,30204.0,53441.0,31402.0,59329.0,895602.0,219674.0,527024.0,369139.0,122150.0,28646.0,0.44,238573.0,64955.0,104467.0,74259.0,702.0
40,12580,2007,12580.acs,2668056.0,37.7,344682.0,650973.0,494041.0,257074.0,448897.0,1106041.0,995655.0,47.0,884979.0,141966.0,18152.0,46697.0,37179.0,78995.0,1108224.0,196767.0,575005.0,521639.0,268404.0,32014.0,0.448,240974.0,69693.0,119260.0,67166.0,779.0
41,37100,2007,37100.acs,798364.0,35.6,65452.0,190216.0,108865.0,57654.0,149025.0,272463.0,255668.0,44.0,219931.0,23715.0,8705.0,8857.0,6759.0,3669.0,340118.0,83311.0,180133.0,119984.0,68822.0,31013.0,0.432,67077.0,18870.0,34135.0,12379.0,1243.0
