,year,acs_geoid,cbsa_name,epa_site,longitude,latitude
243,2016,33700,"Modesto, CA",0006,-120.83600799999999,37.488316999999995
244,2016,38300,"Pittsburgh, PA",0067,-80.16994299999999,40.375644
245,2016,25500,"Harrisonburg, VA",0003,-78.81952,38.47753
246,2016,38300,"Pittsburgh, PA",0727,-80.500451,40.6119
247,2016,38300,"Pittsburgh, PA",0007,-80.317731,40.673656
248,2016,38300,"Pittsburgh, PA",0008,-79.960757,40.46542
249,2016,45140,"Tahlequah, OK",9002,-94.985964,35.854079999999996
250,2016,38300,"Pittsburgh, PA",1008,-79.72766399999999,40.617488
251,2016,11020,"Altoona, PA",0801,-78.37083299999999,40.535278
252,2016,49180,"Winston-Salem, NC",0022,-80.226438,36.110693
253,2016,40760,"Ruidoso, NM",9000,-105.535444,33.468809
254,2016,23500,"Gaffney, SC",0004,-81.40220000000001,35.1456
255,2016,32220,"Marshall, TX",0002,-94.167457,32.668987
256,2016,34700,"Muscatine, IA",0019,-91.068449,41.401458999999996
257,2016,41620,"Salt Lake City, UT",1001,-112.094722,40.708611
258,2016,41620,"Salt Lake City, UT",3006,-111.872222,40.736388999999996
259,2016,10740,"Albuquerque, NM",0023,-106.5852,35.1343
260,2016,47940,"Waterloo-Cedar Falls, IA",0009,-92.316017,42.501543
261,2016,30780,"Little Rock-North Little Rock-Conway, AR",1008,-92.32869699999999,34.681343
262,2016,30780,"Little Rock-North Little Rock-Conway, AR",0007,-92.281296,34.756189
263,2016,22220,"Fayetteville-Springdale-Rogers, AR-MO",0005,-94.116827,36.179700000000004
264,2016,27220,"Jackson, WY-ID",1011,-110.40034,44.56536
265,2016,49700,"Yuba City, CA",0003,-121.618549,39.138773
266,2016,41620,"Salt Lake City, UT",0004,-112.353414,40.600532
267,2016,39900,"Reno, NV",1005,-119.74676099999999,39.540917
268,2016,39900,"Reno, NV",0016,-119.807717,39.525082999999995
269,2016,39900,"Reno, NV",0025,-119.739606,39.399837
270,2016,34700,"Muscatine, IA",0015,-91.06795699999999,41.400968
271,2016,34700,"Muscatine, IA",0016,-91.07097499999999,41.419429
272,2016,41700,"San Antonio-New Braunfels, TX",0676,-98.551383,29.33279
273,2016,41700,"San Antonio-New Braunfels, TX",0052,-98.56493599999999,29.632057999999997
274,2016,17980,"Columbus, GA-AL",0001,-85.005028,32.472136
275,2016,18140,"Columbus, OH",0034,-82.994424,40.002707
276,2016,24660,"Greensboro-High Point, NC",0013,-79.802314,36.109006
277,2016,17980,"Columbus, GA-AL",0011,-84.9316,32.429700000000004
278,2016,41700,"San Antonio-New Braunfels, TX",1069,-98.39139,29.529400000000003
279,2016,33660,"Mobile, AL",2005,-88.14102199999999,30.474304999999998
280,2016,18140,"Columbus, OH",0039,-82.980105,39.928531
281,2016,34140,"Moscow, ID",0005,-116.960177,46.72182
282,2016,26140,"Homosassa Springs, FL",0005,-82.644381,28.980556
283,2016,12060,"Atlanta-Sandy Springs-Roswell, GA",0002,-84.745728,33.40405
284,2016,12060,"Atlanta-Sandy Springs-Roswell, GA",0002,-84.29050000000001,33.6878
285,2016,12060,"Atlanta-Sandy Springs-Roswell, GA",0003,-84.27261399999999,33.698643
286,2016,12060,"Atlanta-Sandy Springs-Roswell, GA",0055,-84.357316,33.720742
287,2016,36540,"Omaha-Council Bluffs, NE-IA",0019,-95.973142,41.247485999999995
288,2016,26300,"Hot Springs, AR",0003,-93.00017799999999,34.469440999999996
289,2016,39860,"Red Wing, MN",5302,-93.01261099999999,44.473754
290,2016,12060,"Atlanta-Sandy Springs-Roswell, GA",0003,-85.04534,33.9285
291,2016,12060,"Atlanta-Sandy Springs-Roswell, GA",0001,-84.069608,33.588544999999996
292,2016,17340,"Clearlake, CA",3011,-122.75797,38.848459999999996
293,2016,17340,"Clearlake, CA",3010,-122.6995,38.77453
294,2016,36540,"Omaha-Council Bluffs, NE-IA",0053,-95.938593,41.322508
295,2016,46540,"Utica-Rome, NY",0005,-74.98537999999999,43.68578
296,2016,36540,"Omaha-Council Bluffs, NE-IA",0002,-96.146175,41.551210999999995
297,2016,36540,"Omaha-Council Bluffs, NE-IA",0009,-95.896124,41.264171
298,2016,26140,"Homosassa Springs, FL",9000,-82.554769,28.748677999999998
299,2016,25860,"Hickory-Lenoir-Morganton, NC",0004,-81.365556,35.728888999999995
300,2016,12060,"Atlanta-Sandy Springs-Roswell, GA",0004,-84.776429,33.741242
301,2016,41820,"Sanford, NC",0002,-79.2887,35.432500000000005
302,2016,24060,"Glenwood Springs, CO",0007,-107.782298,39.531813
303,2016,24060,"Glenwood Springs, CO",0019,-108.02611,39.43806
304,2016,35300,"New Haven-Milford, CT",0027,-72.90287099999999,41.3014
305,2016,16700,"Charleston-North Charleston, SC",0003,-79.977538,32.882289
306,2016,16700,"Charleston-North Charleston, SC",0046,-79.657187,32.941023
307,2016,24060,"Glenwood Springs, CO",0005,-108.053259,39.453654
