,geoid,Unnamed: 0,2007.mean.88502,2007.stdev.88502,2008.mean.88502,2008.stdev.88502,2009.mean.88502,2009.stdev.88502,2010.mean.88502,2010.stdev.88502,2011.mean.88502,2011.stdev.88502,2012.mean.88502,2012.stdev.88502,2013.mean.88502,2013.stdev.88502,2014.mean.88502,2014.stdev.88502,2015.mean.88502,2015.stdev.88502,2016.mean.88502,2016.stdev.88502,2017.mean.88502,2017.stdev.88502,2018.mean.88502,2018.stdev.88502,2007.mean.68105,2007.stdev.68105,2008.mean.68105,2008.stdev.68105,2009.mean.68105,2009.stdev.68105,2010.mean.68105,2010.stdev.68105,2011.mean.68105,2011.stdev.68105,2012.mean.68105,2012.stdev.68105,2013.mean.68105,2013.stdev.68105,2014.mean.68105,2014.stdev.68105,2015.mean.68105,2015.stdev.68105,2016.mean.68105,2016.stdev.68105,2017.mean.68105,2017.stdev.68105,2018.mean.68105,2018.stdev.68105
60,28060,762.0,5.809322,6.319188,4.167544,2.562476,3.942105,2.234282,3.488596,2.231542,3.692982,2.44083,4.212931,3.804472,3.763115,2.564223,4.144167,4.9313910000000005,6.190517,11.794287,3.481553,2.406191,5.48,7.537476,6.246957,10.057208000000001,,,,,,,,,,,,,,,,,,,,,,,,
61,22520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,15260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,43060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,30340,605.0,,,,,,,,,,,,,,,,,,,,,,,,,8.1578725,10.7784365,8.920189,9.9359625,7.482516499999999,10.0677995,10.287092,9.703841999999998,8.833504999999997,10.0713185,9.4574715,9.915514,8.84127,10.722112,8.9220285,10.905891,5.1473485,11.148871499999998,10.932651,10.187894,10.0616665,9.650236999999999,8.815517,11.049172500000001
65,23460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,25740,771.0,2.87766,6.005824,2.1,2.029041,1.9980000000000002,1.581585,1.8035290000000002,1.8170130000000002,1.898889,1.6326370000000001,2.74,4.9440909999999985,2.080357,2.036152,2.2833330000000003,3.8717019999999995,3.060504,7.9951599999999985,1.519828,1.544596,3.907407,7.400097,2.511321,7.035997,7.645613999999999,10.446498,5.621429,11.609553,0.3292855000000001,10.3376045,5.817241,10.878257000000001,4.883784,10.755141,7.395081999999999,9.891401,8.116,11.381409,5.969492,12.009310000000001,7.873214,9.84955,7.040741000000001,10.519748,5.985185,12.34023,5.96,11.117797
67,31020,1348.0,5.96369,5.067537000000001,5.638227,3.607497,5.842529,3.618146,4.51511,2.639959,4.738292,3.911083,5.51396,3.3904410000000005,6.700548,4.527953,5.9303409999999985,3.630779,5.979282,4.269688,5.07135,3.117985,6.099177999999998,5.4961150000000005,6.250411,6.254562,,,,,,,,,,,,,,,,,,,,,,,,
68,33980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,33500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
